iso,covid-base-data-latest,covid-base-data-time,life-expectancy,remittances-latest
AGO,1,1,1,1
BDI,1,1,0,1
BEN,1,1,0,1
BFA,1,0,0,1
BWA,1,1,1,1
CIV,1,1,1,1
CMR,1,1,1,1
COD,1,1,0,1
COG,1,1,0,1
COM,1,1,1,1
CPV,1,1,1,1
DJI,1,1,1,1
DZA,1,1,0,1
EGY,1,0,0,1
ETH,1,1,1,1
GAB,1,1,0,1
GHA,1,1,0,1
GIN,1,1,1,1
GMB,1,1,1,1
GNB,1,1,1,1
GNQ,1,1,1,1
KEN,1,0,1,1
LBR,1,1,1,1
LSO,1,1,1,1
MAR,1,1,0,1
MDG,1,1,1,1
MLI,1,1,1,1
MOZ,1,1,1,1
MRT,1,1,1,1
MUS,1,1,1,1
MWI,1,1,1,1
NAM,1,1,1,1
NER,1,1,1,1
NGA,1,1,1,1
RWA,1,1,1,1
SDN,1,1,0,1
SEN,1,1,0,1
SLE,1,1,0,1
SOM,1,1,1,1
SSD,1,1,1,1
STP,1,1,1,1
SWZ,0,1,1,1
SYC,1,1,1,1
TCD,1,1,1,1
TGO,1,1,0,1
TUN,1,1,1,1
TZA,1,1,1,1
UGA,1,0,0,1
ZAF,1,1,0,1
ZMB,1,1,1,1
ZWE,0,1,1,1
